,bee_type,bee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,params,weights_filename,time
68,OnlookerBee,2.0,1,9.0,input|max_pool3x3|sep3x3_64|sep5x5_64|batch_norm|sep5x5_64|output,0.17470000684261322,0.17470000684261322,1.0,59528362.0,27865f1fabcbcade85ca33d24d47f575d76afd3b.h5,80.07314538955688
69,OnlookerBee,3.0,2,9.0,input|sep3x3_64|dropout|sep3x3_32|sep3x3_128|batch_norm|output,0.258899986743927,0.3605000078678131,1.0,118506538.0,6c2d408e5d0826ac4cfe56cd03c255cedf90aafa.h5,81.93404173851013
70,EmployeeBee,0.0,-,10.0,input|dropout|dropout|dropout|sep5x5_128|avg_pool3x3|output,0.5436999797821045,0.6819999814033508,3.0,118501738.0,f1e6c7a774a4c8ebab7680be4932e8df5749a642.h5,241.06047296524048
71,EmployeeBee,1.0,-,10.0,input|max_pool3x3|sep5x5_32|sep5x5_32|batch_norm|sep3x3_32|output,0.3601999878883362,0.3601999878883362,1.0,30028234.0,890b41757d1b0db2e7b82730a2f570eeacac5984.h5,83.9655032157898
72,EmployeeBee,2.0,-,10.0,input|batch_norm|dropout|sep3x3_64|sep5x5_64|sep5x5_128|output,0.6758999824523926,0.6758999824523926,5.0,118514858.0,f91e240fc5ebb9f8d4a7084586a17047b73938fb.h5,409.4690406322479
73,OnlookerBee,0.0,1,10.0,input|max_pool3x3|max_pool3x3|sep5x5_32|batch_norm|sep3x3_32|output,0.6301000118255615,0.6301000118255615,4.0,30026378.0,db9a2d07caf032872be9b60eef4026019b2f4a3c.h5,301.68989777565
74,OnlookerBee,1.0,0,10.0,input|sep5x5_128|dropout|dropout|dropout|avg_pool3x3|output,0.6373000144958496,0.6819999814033508,4.0,118501738.0,69de0fd15508d20f6010d6262bf0f387f91de77a.h5,326.63726568222046
75,OnlookerBee,2.0,1,10.0,input|max_pool3x3|max_pool3x3|sep3x3_32|batch_norm|sep3x3_32|output,0.4174000024795532,0.6301000118255615,1.0,30025866.0,0c6923d37dea4f8e26a7aa875e76a773501a3b35.h5,73.54448580741882
76,OnlookerBee,3.0,1,10.0,input|max_pool3x3|max_pool3x3|sep5x5_128|batch_norm|sep3x3_32|output,0.6966999769210815,0.6966999769210815,5.0,30033674.0,396b1287291c1f628638ed0cce9875417da3e6e7.h5,381.0423846244812
77,EmployeeBee,0.0,-,11.0,input|sep3x3_32|sep3x3_128|sep5x5_64|sep3x3_32|sep5x5_128|output,0.10000000149011612,0.10000000149011612,1.0,118521706.0,857883933f3350248c5bea9536ba95a87591ed69.h5,85.3739025592804
