,arch,epoch,val_acc,val_loss,train_acc,train_loss,eval_idx,type,bee_id,itr
59,input|avg_pool3x3|avg_pool3x3|dropout|sc_1|sep5x5_128|output,5,0.6412,1.0178,0.6528,1.0211,11,OnlookerBee,2,2
60,input|sc_1|dropout|sep5x5_128|max_pool3x3|sc_1|sep3x3_128|output,1,0.3167,2.2235,0.3706,3.3048,12,OnlookerBee,3,2
61,input|sc_1|dropout|sep5x5_128|max_pool3x3|sc_1|sep3x3_128|output,2,0.5245,1.467,0.5716,1.2291,12,OnlookerBee,3,2
62,input|sc_1|dropout|sep5x5_128|max_pool3x3|sc_1|sep3x3_128|output,3,0.66,1.0288,0.6633,0.9781,12,OnlookerBee,3,2
63,input|sc_1|dropout|sep5x5_128|max_pool3x3|sc_1|sep3x3_128|output,4,0.6842,0.9356,0.7238,0.8085,12,OnlookerBee,3,2
64,input|sc_1|dropout|sep5x5_128|max_pool3x3|sc_1|sep3x3_128|output,5,0.6898,1.1006,0.7749,0.6622,12,OnlookerBee,3,2
65,input|max_pool3x3|max_pool3x3|sep5x5_256|sep5x5_128|output,1,0.5375,1.2956,0.4473,1.5578,13,EmployeeBee,0,3
66,input|max_pool3x3|max_pool3x3|sep5x5_256|sep5x5_128|output,2,0.6704,0.9654,0.648,1.0158,13,EmployeeBee,0,3
67,input|max_pool3x3|max_pool3x3|sep5x5_256|sep5x5_128|output,3,0.7119,0.8817,0.7391,0.7603,13,EmployeeBee,0,3
68,input|max_pool3x3|max_pool3x3|sep5x5_256|sep5x5_128|output,4,0.7162,0.9952,0.8088,0.5607,13,EmployeeBee,0,3
69,input|max_pool3x3|max_pool3x3|sep5x5_256|sep5x5_128|output,5,0.734,0.9255,0.8607,0.4124,13,EmployeeBee,0,3
70,input|sep3x3_128|sep3x3_64|sc_1|sep3x3_64|sc_1|max_pool3x3|output,1,0.4354,1.612,0.4226,1.652,14,EmployeeBee,1,3
71,input|sep3x3_128|sep3x3_64|sc_1|sep3x3_64|sc_1|max_pool3x3|output,2,0.6529,0.9931,0.6243,1.0705,14,EmployeeBee,1,3
72,input|sep3x3_128|sep3x3_64|sc_1|sep3x3_64|sc_1|max_pool3x3|output,3,0.6795,0.9788,0.7385,0.7539,14,EmployeeBee,1,3
73,input|sep3x3_128|sep3x3_64|sc_1|sep3x3_64|sc_1|max_pool3x3|output,4,0.6789,0.9933,0.8377,0.4698,14,EmployeeBee,1,3
