,bee_typebee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,params,weights_filename,time,bee_id,bee_type
0,,-,0,input|sep5x5_128|sep5x5_32|sep5x5_128|sep3x3_128|sep5x5_32|output,0.10000000149011612,0.10000000149011612,1,30065482,fe55c4b2b7e230239be28a37c9a520646bbe91dc.h5,100.89995574951172,0.0,EmployeeBee
1,,-,0,input|sep5x5_128|sep5x5_32|sc_3|sep5x5_128|avg_pool3x3|avg_pool3x3|output,0.4763999879360199,0.4763999879360199,2,118518314,57273d26483df123e0c2c9c50fd2d7686a2cf939.h5,230.3997950553894,1.0,EmployeeBee
2,,-,0,input|avg_pool3x3|sep3x3_128|sep5x5_32|sep5x5_32|sep5x5_32|output,0.10000000149011612,0.10000000149011612,1,30038666,8358f077d29344696c64a4463d11fb92fcbf5077.h5,79.3046543598175,2.0,EmployeeBee
3,,1,0,input|sep5x5_128|sep5x5_32|sep5x5_128|avg_pool3x3|avg_pool3x3|output,0.10000000149011612,0.4763999879360199,1,118514090,9a77161b44cea19dfdb9b196ca8b05cacf156282.h5,88.18486666679382,0.0,OnlookerBee
4,,1,0,input|batch_norm|sep5x5_32|sc_3|sep5x5_128|avg_pool3x3|avg_pool3x3|output,0.399399995803833,0.4763999879360199,1,118507882,2dd9fd5b5c670f8e79d64788a25b6070e25e0e3a.h5,86.16576743125916,1.0,OnlookerBee
5,,2,0,input|avg_pool3x3|sep3x3_128|sep5x5_32|sep5x5_32|batch_norm|output,0.28999999165534973,0.28999999165534973,1,30036874,580f7e20dacc348a8e7c2de0a2c821816e754ba0.h5,79.00775790214539,2.0,OnlookerBee
6,,2,0,input|avg_pool3x3|sep3x3_128|sep5x5_32|sep3x3_128|batch_norm|output,0.249099999666214,0.28999999165534973,1,118513322,3a240416f279848e942ed5eef83ad961ee9fd240.h5,85.49782872200012,3.0,OnlookerBee
7,,-,1,input|max_pool3x3|sep5x5_32|sep5x5_128|sep3x3_128|sep5x5_32|output,0.10000000149011612,0.10000000149011612,1,30054986,b25b6ac41b11d8f5beab5bf97e959b99fbf01a85.h5,81.50278544425964,0.0,EmployeeBee
8,,-,1,input|sep5x5_128|sep5x5_32|sc_3|sep5x5_128|avg_pool3x3|sep5x5_128|output,0.4535999894142151,0.4763999879360199,2,118538026,1a950a3705c83d1d73ce7e32bad511c1c5659645.h5,178.67554354667664,1.0,EmployeeBee
9,,-,1,input|avg_pool3x3|sep3x3_128|max_pool3x3|sep5x5_32|batch_norm|output,0.5412999987602234,0.5412999987602234,3,30035018,1a99e804c0eb7d5ee37ed4ef07ffb616080a9024.h5,230.1670560836792,2.0,EmployeeBee
10,,2,1,input|avg_pool3x3|sep3x3_32|max_pool3x3|sep5x5_32|batch_norm|output,0.36739999055862427,0.5412999987602234,1,30026378,a22b0ed98959a44c1d56c097d83e9928ec9781b1.h5,74.96696639060974,0.0,OnlookerBee
11,,0,1,input|sep5x5_128|sep3x3_128|sep5x5_128|sep3x3_128|sep5x5_32|output,0.10000000149011612,0.10000000149011612,1,30090506,f0520e0a3ee894fcab3a44f1316f96f67f88448b.h5,86.49025702476501,1.0,OnlookerBee
12,,2,1,input|sep3x3_32|sep3x3_128|max_pool3x3|sep5x5_32|batch_norm|output,0.2639999985694885,0.5412999987602234,1,30036362,25502ca6557f6eb81b5d7b37d128701578474003.h5,79.78217363357544,2.0,OnlookerBee
13,,1,1,input|sep3x3_128|sep5x5_32|sc_3|sep5x5_128|avg_pool3x3|avg_pool3x3|output,0.48179998993873596,0.48179998993873596,2,118517802,acdd399ea511f26f7d88026b9f89b31f4d4adce3.h5,173.6264247894287,3.0,OnlookerBee
14,,-,2,input|sep5x5_128|sep5x5_32|sep5x5_128|sep3x3_128|sep3x3_64|output,0.10000000149011612,0.10000000149011612,1,59558762,d6b58e903ac41ae25d16079b1cc78a9eb686fc01.h5,84.98861765861511,0.0,EmployeeBee
15,,-,2,input|sep3x3_128|dropout|sep5x5_128|sep5x5_128|dropout|output,0.45170000195503235,0.45170000195503235,2,118540650,3feaf89909ca25ca49c008e8a9ddb82d8fe27e5d.h5,175.0330069065094,1.0,EmployeeBee
16,,-,2,input|sc_2|avg_pool3x3|sep3x3_128|batch_norm|sc_1|sep3x3_64|sep5x5_32|output,0.5410000085830688,0.5410000085830688,3,30053450,fd1741ae0302a4da0b6e381fd5ac70b2d23a3cd8.h5,237.57271718978882,2.0,EmployeeBee
17,,1,2,input|sep3x3_128|dropout|dropout|sep5x5_128|dropout|output,0.5202000141143799,0.5202000141143799,3,118520938,3b64aa5f56b785357c907491cff3b47385a83c49.h5,252.65192031860352,0.0,OnlookerBee
18,,2,2,input|sc_2|avg_pool3x3|max_pool3x3|batch_norm|sc_1|sep3x3_64|sep5x5_32|output,0.5595999956130981,0.5595999956130981,3,30032426,0a541c14b81783813b90c7ccc7dfa226e61ebc1a.h5,226.7448070049286,1.0,OnlookerBee
19,,2,2,input|sc_2|avg_pool3x3|sep3x3_128|batch_norm|sc_1|sep3x3_64|sep5x5_32|output,0.6128000020980835,0.6128000020980835,4,30053450,fd1741ae0302a4da0b6e381fd5ac70b2d23a3cd8.h5,312.56489181518555,2.0,OnlookerBee
20,,0,2,input|sep5x5_128|sep5x5_32|sep5x5_128|sep3x3_128|sep3x3_32|output,0.10000000149011612,0.10000000149011612,1,30063434,754a7d8050b7532bb92b349dee868bf2906d7851.h5,82.89077138900757,3.0,OnlookerBee
21,,-,3,input|sep3x3_128|sc_2|sep3x3_32|avg_pool3x3|avg_pool3x3|sc_1|avg_pool3x3|output,0.5331000089645386,0.5331000089645386,3,30038090,195575c43dac0464ea1ff6158099c2f59ce30e7a.h5,228.0089282989502,0.0,EmployeeBee
22,,-,3,input|max_pool3x3|dropout|dropout|sep5x5_128|dropout|output,0.47530001401901245,0.5202000141143799,2,118501738,172fa5382aac0b683e67830758ada300f239badc.h5,162.15518283843994,1.0,EmployeeBee
