,bee_type,bee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,params,weights_filename,time
23,EmployeeBee,2.0,-,3.0,input|dropout|avg_pool3x3|avg_pool3x3|sep5x5_32|output,0.6757000088691711,0.708899974822998,5.0,30024970.0,5af53ca12b4a6372106fbd6a14020255f7337009.h5,34.6028151512146
24,OnlookerBee,0.0,0,3.0,input|sep3x3_32|avg_pool3x3|sep5x5_128|sep3x3_32|output,0.7075999975204468,0.7075999975204468,5.0,30034762.0,850f1a2fe14a692e55f0a13fd1a40ce28985a2c7.h5,42.708863973617554
25,OnlookerBee,1.0,1,3.0,input|sep3x3_64|sep5x5_128|batch_norm|sep5x5_64|output,0.6912999749183655,0.7117000222206116,5.0,59538346.0,c57c25159384535e58c4b919285b2b917bf01bf3.h5,64.31260967254639
26,OnlookerBee,2.0,2,3.0,input|batch_norm|sep3x3_128|avg_pool3x3|sep5x5_32|output,0.7077000141143799,0.708899974822998,5.0,30035018.0,5493a442f17143dd1e7618ff4b8530fe41461548.h5,49.321728467941284
27,OnlookerBee,3.0,1,3.0,input|sep3x3_64|sep5x5_128|max_pool3x3|dropout|output,0.7005000114440918,0.7117000222206116,5.0,118509034.0,5f359d781f952b45487c81fd95e76f91d63be177.h5,80.64058089256287
28,EmployeeBee,0.0,-,4.0,input|sep3x3_64|avg_pool3x3|sep5x5_128|sep3x3_32|output,0.7091000080108643,0.7091000080108643,5.0,30040714.0,dfc37ddb3ede8ecf0ef78d1d82cc380e7c9dfef1.h5,49.45450282096863
29,EmployeeBee,1.0,-,4.0,input|sep5x5_32|sep3x3_32|sep3x3_64|sep5x5_64|output,0.6636999845504761,0.6636999845504761,5.0,59525674.0,e9bc428b02b926151b6cf602ce065cdce4d34463.h5,64.3923830986023
30,EmployeeBee,2.0,-,4.0,input|sep3x3_32|sep3x3_32|sep5x5_128|sep3x3_32|output,0.6620000004768372,0.6620000004768372,5.0,30036106.0,41a86a0ee2044d31549e300ffd16f4cc55fb57df.h5,44.72349810600281
31,OnlookerBee,0.0,2,4.0,input|sep3x3_32|sep3x3_32|sep5x5_32|sep3x3_32|output,0.6703000068664551,0.6703000068664551,5.0,30029002.0,fcbf019d1ee2cc9c749c9008f6779e674020c15e.h5,36.400646448135376
32,OnlookerBee,1.0,2,4.0,input|sep3x3_32|sep3x3_32|sep3x3_128|sep3x3_32|output,0.65829998254776,0.6703000068664551,5.0,30035594.0,1e16d2188363808eb91c8b0eb6aa6d58317e9da3.h5,43.40532946586609
33,OnlookerBee,2.0,0,4.0,input|sep3x3_64|avg_pool3x3|sep5x5_128|dropout|output,0.7203999757766724,0.7203999757766724,5.0,118509034.0,be876e000604f491c9836a665ac66180c8d0078b.h5,79.3396863937378
34,OnlookerBee,3.0,1,4.0,input|sep5x5_32|sep3x3_32|sep3x3_32|sep5x5_64|output,0.670799970626831,0.670799970626831,5.0,59521770.0,b3e7e796e05c0b6c4d4656d70bf34ea6b73dd764.h5,50.93495035171509
35,EmployeeBee,0.0,-,5.0,input|sep5x5_32|batch_norm|sep3x3_128|sep3x3_128|output,0.670799970626831,0.670799970626831,5.0,118520810.0,264afd6f8fa7954a134dca1a2888531009e90240.h5,75.92923164367676
